발생월,시도,시군구,사망자수,중상자수,경상자수,부상신고자수,cnt_minor,cnt_serious,cnt_fatal,total_cnt,ratio_0,ratio_1,ratio_2
1.0,경북,영천시,8,91,299,10,309,91,8,408,0.7573529411764706,0.22303921568627452,0.0196078431372549
1.0,경북,예천군,5,49,48,1,49,49,5,103,0.47572815533980584,0.47572815533980584,0.04854368932038835
1.0,경북,울릉군,1,3,4,0,4,3,1,8,0.5,0.375,0.125
1.0,경북,울진군,7,45,48,3,51,45,7,103,0.49514563106796117,0.4368932038834951,0.06796116504854369
1.0,경북,의성군,4,59,66,1,67,59,4,130,0.5153846153846153,0.45384615384615384,0.03076923076923077
1.0,경북,청도군,4,32,71,5,76,32,4,112,0.6785714285714286,0.2857142857142857,0.03571428571428571
1.0,경북,청송군,4,26,30,6,36,26,4,66,0.5454545454545454,0.3939393939393939,0.06060606060606061
1.0,경북,칠곡군,9,101,294,50,344,101,9,454,0.7577092511013216,0.22246696035242292,0.019823788546255508
1.0,경북,포항시,12,358,1298,85,1383,358,12,1753,0.7889332572732458,0.20422133485453509,0.0068454078722190535
1.0,광주,광산구,7,134,1193,62,1255,134,7,1396,0.8989971346704871,0.09598853868194843,0.00501432664756447
1.0,광주,남구,4,58,404,17,421,58,4,483,0.8716356107660456,0.12008281573498965,0.008281573498964804
1.0,광주,동구,2,47,321,18,339,47,2,388,0.8737113402061856,0.1211340206185567,0.005154639175257732
1.0,광주,북구,5,185,1378,52,1430,185,5,1620,0.8827160493827161,0.11419753086419752,0.0030864197530864196
1.0,광주,서구,4,120,1239,60,1299,120,4,1423,0.9128601546029516,0.084328882642305,0.0028109627547434997
1.0,대구,군위군,0,6,2,4,6,6,0,12,0.5,0.5,0.0
1.0,대구,남구,3,80,356,30,386,80,3,469,0.8230277185501066,0.17057569296375266,0.006396588486140725
1.0,대구,달서구,11,331,1332,70,1402,331,11,1744,0.8038990825688074,0.18979357798165136,0.006307339449541285
1.0,대구,달성군,4,109,427,31,458,109,4,571,0.8021015761821366,0.19089316987740806,0.0070052539404553416
1.0,대구,동구,4,218,779,70,849,218,4,1071,0.7927170868347339,0.20354808590102708,0.003734827264239029
1.0,대구,북구,5,291,965,98,1063,291,5,1359,0.7821927888153054,0.2141280353200883,0.003679175864606328
1.0,대구,서구,4,133,533,51,584,133,4,721,0.8099861303744799,0.18446601941747573,0.005547850208044383
1.0,대구,수성구,4,256,1038,77,1115,256,4,1375,0.8109090909090909,0.18618181818181817,0.002909090909090909
1.0,대구,중구,4,106,354,86,440,106,4,550,0.8,0.19272727272727272,0.007272727272727273
1.0,대전,대덕구,7,96,433,16,449,96,7,552,0.8134057971014492,0.17391304347826086,0.012681159420289856
1.0,대전,동구,4,120,578,14,592,120,4,716,0.8268156424581006,0.16759776536312848,0.00558659217877095
1.0,대전,서구,10,216,1209,34,1243,216,10,1469,0.8461538461538461,0.14703880190605853,0.0068073519400953025
1.0,대전,유성구,8,136,952,37,989,136,8,1133,0.8729037952338923,0.12003530450132392,0.00706090026478376
1.0,대전,중구,8,119,614,11,625,119,8,752,0.8311170212765957,0.15824468085106383,0.010638297872340425
1.0,부산,강서구,8,130,336,22,358,130,8,496,0.7217741935483871,0.2620967741935484,0.016129032258064516
1.0,부산,금정구,3,126,366,60,426,126,3,555,0.7675675675675676,0.22702702702702704,0.005405405405405406
1.0,부산,기장군,4,72,246,26,272,72,4,348,0.7816091954022989,0.20689655172413793,0.011494252873563218
1.0,부산,남구,6,110,296,33,329,110,6,445,0.7393258426966293,0.24719101123595505,0.01348314606741573
1.0,부산,동구,4,86,233,24,257,86,4,347,0.7406340057636888,0.2478386167146974,0.011527377521613832
1.0,부산,동래구,2,144,396,35,431,144,2,577,0.7469670710571924,0.24956672443674177,0.0034662045060658577
1.0,부산,부산진구,8,231,674,50,724,231,8,963,0.7518172377985463,0.2398753894080997,0.008307372793354102
1.0,부산,북구,3,107,239,28,267,107,3,377,0.7082228116710876,0.2838196286472148,0.007957559681697613
1.0,부산,사상구,4,114,317,41,358,114,4,476,0.7521008403361344,0.23949579831932774,0.008403361344537815
1.0,부산,사하구,4,176,354,37,391,176,4,571,0.6847635726795096,0.30823117338003503,0.0070052539404553416
1.0,부산,서구,3,77,198,26,224,77,3,304,0.7368421052631579,0.2532894736842105,0.009868421052631578
1.0,부산,수영구,3,106,292,21,313,106,3,422,0.7417061611374408,0.25118483412322273,0.0071090047393364926
1.0,부산,연제구,4,92,276,28,304,92,4,400,0.76,0.23,0.01
1.0,부산,영도구,2,66,115,6,121,66,2,189,0.6402116402116402,0.3492063492063492,0.010582010582010581
1.0,부산,중구,1,71,127,15,142,71,1,214,0.6635514018691588,0.3317757009345794,0.004672897196261682
1.0,부산,해운대구,3,175,373,54,427,175,3,605,0.7057851239669422,0.2892561983471074,0.0049586776859504135
1.0,서울,강남구,7,399,1954,152,2106,399,7,2512,0.8383757961783439,0.1588375796178344,0.002786624203821656
1.0,서울,강동구,5,156,618,39,657,156,5,818,0.8031784841075794,0.19070904645476772,0.006112469437652812
1.0,서울,강북구,1,123,485,33,518,123,1,642,0.8068535825545171,0.19158878504672897,0.001557632398753894
1.0,서울,강서구,9,181,742,63,805,181,9,995,0.8090452261306532,0.18190954773869347,0.009045226130653266
1.0,서울,관악구,2,163,653,45,698,163,2,863,0.8088064889918888,0.18887601390498263,0.002317497103128621
1.0,서울,광진구,1,122,415,44,459,122,1,582,0.788659793814433,0.20962199312714777,0.001718213058419244
1.0,서울,구로구,5,187,638,70,708,187,5,900,0.7866666666666666,0.20777777777777778,0.005555555555555556
1.0,서울,금천구,1,117,458,42,500,117,1,618,0.8090614886731392,0.18932038834951456,0.0016181229773462784
1.0,서울,노원구,6,142,683,56,739,142,6,887,0.8331454340473506,0.1600901916572717,0.006764374295377677
1.0,서울,도봉구,2,97,273,29,302,97,2,401,0.7531172069825436,0.24189526184538654,0.004987531172069825
1.0,서울,동대문구,6,191,663,77,740,191,6,937,0.7897545357524013,0.20384204909284953,0.0064034151547491995
1.0,서울,동작구,4,154,599,81,680,154,4,838,0.8114558472553699,0.18377088305489261,0.00477326968973747
1.0,서울,마포구,7,173,573,65,638,173,7,818,0.7799511002444988,0.2114914425427873,0.008557457212713936
1.0,서울,서대문구,3,133,500,93,593,133,3,729,0.813443072702332,0.18244170096021947,0.00411522633744856
1.0,서울,서초구,7,229,1184,93,1277,229,7,1513,0.8440185062789161,0.15135492399206874,0.004626569729015202
1.0,서울,성동구,2,132,516,19,535,132,2,669,0.7997010463378177,0.19730941704035873,0.0029895366218236174
1.0,서울,성북구,2,138,616,53,669,138,2,809,0.826946847960445,0.17058096415327564,0.002472187886279357
1.0,서울,송파구,8,312,1334,157,1491,312,8,1811,0.823302043070127,0.17228050800662617,0.004417448923246825
1.0,서울,양천구,4,148,564,53,617,148,4,769,0.8023407022106632,0.19245773732119636,0.005201560468140442
1.0,서울,영등포구,9,226,1025,123,1148,226,9,1383,0.8300795372378886,0.16341287057122197,0.006507592190889371
1.0,서울,용산구,2,156,493,21,514,156,2,672,0.7648809523809523,0.23214285714285715,0.002976190476190476
1.0,서울,은평구,2,171,460,46,506,171,2,679,0.7452135493372607,0.25184094256259204,0.0029455081001472753
1.0,서울,종로구,9,123,448,73,521,123,9,653,0.7978560490045942,0.1883614088820827,0.013782542113323124
1.0,서울,중구,0,139,467,59,526,139,0,665,0.7909774436090226,0.20902255639097744,0.0
1.0,서울,중랑구,1,177,632,57,689,177,1,867,0.7946943483275664,0.2041522491349481,0.0011534025374855825
1.0,세종,세종시,5,138,352,55,407,138,5,550,0.74,0.2509090909090909,0.00909090909090909
1.0,울산,남구,2,214,515,39,554,214,2,770,0.7194805194805195,0.2779220779220779,0.0025974025974025974
1.0,울산,동구,1,111,217,6,223,111,1,335,0.6656716417910448,0.33134328358208953,0.0029850746268656717
1.0,울산,북구,5,105,364,50,414,105,5,524,0.7900763358778626,0.20038167938931298,0.009541984732824428
1.0,울산,울주군,9,135,295,58,353,135,9,497,0.710261569416499,0.2716297786720322,0.018108651911468814
1.0,울산,중구,4,116,288,22,310,116,4,430,0.7209302325581395,0.26976744186046514,0.009302325581395349
1.0,인천,강화군,3,33,81,4,85,33,3,121,0.7024793388429752,0.2727272727272727,0.024793388429752067
1.0,인천,계양구,4,96,370,12,382,96,4,482,0.7925311203319502,0.1991701244813278,0.008298755186721992
1.0,인천,남동구,5,205,887,40,927,205,5,1137,0.8153034300791556,0.1802990325417766,0.0043975373790677225
1.0,인천,동구,0,21,68,2,70,21,0,91,0.7692307692307693,0.23076923076923078,0.0
1.0,인천,미추홀구,5,141,727,58,785,141,5,931,0.8431793770139635,0.1514500537056928,0.0053705692803437165
1.0,인천,부평구,5,177,646,40,686,177,5,868,0.7903225806451613,0.20391705069124424,0.00576036866359447
1.0,인천,서구,8,197,938,16,954,197,8,1159,0.823123382226057,0.16997411561691114,0.006902502157031924
1.0,인천,연수구,3,93,333,8,341,93,3,437,0.7803203661327232,0.2128146453089245,0.006864988558352402
1.0,인천,옹진군,0,3,10,0,10,3,0,13,0.7692307692307693,0.23076923076923078,0.0
1.0,인천,중구,4,64,250,9,259,64,4,327,0.7920489296636085,0.19571865443425077,0.012232415902140673
1.0,전남,강진군,1,66,134,21,155,66,1,222,0.6981981981981982,0.2972972972972973,0.0045045045045045045
1.0,전남,고흥군,4,42,99,7,106,42,4,152,0.6973684210526315,0.27631578947368424,0.02631578947368421
1.0,전남,곡성군,0,16,42,2,44,16,0,60,0.7333333333333333,0.26666666666666666,0.0
1.0,전남,광양시,5,80,362,18,380,80,5,465,0.8172043010752689,0.17204301075268819,0.010752688172043012
1.0,전남,구례군,2,26,50,3,53,26,2,81,0.654320987654321,0.32098765432098764,0.024691358024691357
1.0,전남,나주시,10,54,221,12,233,54,10,297,0.7845117845117845,0.18181818181818182,0.03367003367003367
1.0,전남,담양군,3,36,134,4,138,36,3,177,0.7796610169491526,0.2033898305084746,0.01694915254237288
1.0,전남,목포시,4,128,930,14,944,128,4,1076,0.8773234200743495,0.11895910780669144,0.0037174721189591076
1.0,전남,무안군,6,37,164,2,166,37,6,209,0.7942583732057417,0.17703349282296652,0.028708133971291867
1.0,전남,보성군,8,38,89,0,89,38,8,135,0.6592592592592592,0.2814814814814815,0.05925925925925926
1.0,전남,순천시,14,165,654,28,682,165,14,861,0.7921022067363531,0.1916376306620209,0.016260162601626018
1.0,전남,신안군,5,19,58,0,58,19,5,82,0.7073170731707317,0.23170731707317074,0.06097560975609756
1.0,전남,여수시,13,142,665,16,681,142,13,836,0.8145933014354066,0.16985645933014354,0.01555023923444976
1.0,전남,영광군,5,28,74,11,85,28,5,118,0.7203389830508474,0.23728813559322035,0.0423728813559322
1.0,전남,영암군,9,68,243,7,250,68,9,327,0.764525993883792,0.20795107033639143,0.027522935779816515
1.0,전남,완도군,6,21,83,1,84,21,6,111,0.7567567567567568,0.1891891891891892,0.05405405405405406
1.0,전남,장성군,4,33,80,3,83,33,4,120,0.6916666666666667,0.275,0.03333333333333333
1.0,전남,장흥군,2,31,123,9,132,31,2,165,0.8,0.18787878787878787,0.012121212121212121
